A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A2293,BUFFALO ACADEMY FOR THE VISUAL & PERFORMING ARTS 450 MASTEN AVE BUFFALO,B625,Buffalo Academy-Sacred Heart 3860 Main St Buffalo,0.8591863
A1744,PS 207 ELIZABETH G LEARY 4011 FILLMORE AVE BROOKLYN,B3672,P.S. 207 Elizabeth G. Leary 4011 Fillmore Ave Brooklyn,0.8591485
A20,FRANK P LONG INTERMEDIATE SCHOOL 599 BROOKHAVEN AVE BELLPORT,B1494,Frank P Long Intermediate Sch 599 Brookhaven Ave Bellport,0.85907865
A2310,PS 42 OCCUPATIONAL TRAINING CENTER 75 W HURON ST BUFFALO,B4071,Potters Road Occupational Ctr 705 Potters Rd Buffalo,0.8590362
A521,PS/MS 4 CROTONA PARK WEST 1701 FULTON AVE BRONX,B3900,P.S./M.S. 004 Crotona Park West 1701 Fulton Ave Bronx,0.8589192
A4860,SUCCESS ACADEMY CHARTER SCHOOL-NYC 5 760 EAST GUN HILL RD BRONX,B4765,Strive Charter School 604 E 139th St Bronx,0.85886395
A2944,HALF HOLLOW HILLS HIGH SCHOOL EAST 50 VANDERBILT PKY DIX HILLS,B1756,Half Hollow Hills High Sch-E 50 Vanderbilt Pkwy Dix Hills,0.8588637
A329,PS 161 PEDRO ALBIZU CAMPOS 499 W 133RD ST NEW YORK,B3577,P.S. 161 Pedro Albizu Campos 499 W 133rd St New York,0.8587785
A729,KNOWLEDGE AND POWER PREPARATORY ACADEMY III 2055 MAPES AVE BRONX,B2378,Knowledge And Power Preparatory Academy Vi 821 Bay 25th St Far Rockaway,0.8587723
A25,SARANAC HIGH SCHOOL PO BOX 8 SARANAC,B4367,Saranac Elementary School 18 Picketts Corners Road Saranac,0.85877055
A816,JHS 88 PETER ROUGET 544 7TH AVE BROOKLYN,B2181,J.H.S. 088 Peter Rouget 544 7th Ave Brooklyn,0.85875154
A4690,WESTHAMPTON MIDDLE SCHOOL 340 MILL RD WESTHAMPTON BEACH,B5266,West Hampton Beach Middle Sch 340 Mill Rd Westhampton,0.8587258
A4021,SCHOOL 45-MARY MCLEOD BETHUNE 1445 CLIFFORD AVE ROCHESTER,B4403,School # 45 - Northeast 1445 Clifford Ave Rochester,0.8587057
A1930,SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST 99 AVE P-4TH FL BROOKLYN,B595,"Brooklyn Rise Charter School 9 Hanover Place, 2nd Fl Brooklyn",0.85859674
A1377,ACADEMY OF INNOVATIVE TECHNOLOGY 999 JAMAICA AVE BROOKLYN,B4425,School Of Science & Technology 725 E 23 St Brooklyn,0.85859025
A4504,CHRISTOPHER COLUMBUS ELEMENTARY SCHOOL 934 ARMORY DR UTICA,B938,Columbus Elementary School 275 Washington Ave New Rochelle,0.8585877
A570,PS 24 SPUYTEN DUYVIL 660 W 236TH ST BRONX,B4109,Ps 536 1827 Archer Street Bronx,0.8585097
A1403,GREGORY JOCKO JACKSON-SPORTS-ARTS 213 OSBORN ST BROOKLYN,B4868,"The Gregory Jocko Jackson School Of Sports, Art And Technology 213 Osborn Street Brooklyn",0.8585029
A2635,DONALD P SUTHERLAND SCHOOL PO BOX 429 NASSAU,B4783,Sutherland Elementary School 4 John Street Nassau,0.858445
A514,JHS 22 JORDAN L MOTT 270 E 167TH ST BRONX,B2171,J.H.S. 022 Jordan L. Mott 270 E 167 St Bronx,0.85842264
A879,PS 241 EMMA L JOHNSTON 976 PRESIDENT ST BROOKLYN,B3714,P.S. 241 Emma L. Johnston 976 President Street Brooklyn,0.85840935
A1325,PS 297 ABRAHAM STOCKTON 700 PARK AVE BROOKLYN,B4111,Ps 936 270 59th Street Brooklyn,0.85836875
A255,PS 145 BLOOMINGDALE SCHOOL (THE) 150 W 105TH ST NEW YORK,B3536,"P.S. 145, The Bloomingdale School 150 W 105th St Manhattan",0.8583326
A3106,NETHERWOOD SCHOOL PO BOX 724 HYDE PARK,B2939,Netherwood Elementary School Netherwood Road Hyde Park,0.8582955
A3100,SOUTHDOWN SCHOOL PO BOX 1500 HUNTINGTON,B4578,Southdown Primary School 125 Browns Rd Huntington,0.85815156
A1126,PS 38 ROSEDALE 135-21 241ST ST ROSEDALE,B4305,Rosedale (Sa-Ro) 147-65 249th St Rosedale,0.85805845
A3970,PRATTSBURGH CENTRAL SCHOOL PO BOX 249 PRATTSBURGH,B4077,Prattsburg Central School 1 Academy St Prattsburgh,0.8577998
A1230,PS 8 SHIRLEE SOLOMON 112 LINDENWOOD RD STATEN ISLAND,B3828,P.S. 8 Shirlee Solomon 112 Lindenwood Rd Staten Island,0.85779274
A350,PS 18 PARK TERRACE 4124 9TH AVE NEW YORK,B4110,Ps 78 100 Tompkins Ave Staten Island,0.85772383
A1358,PS 273 WORTMAN 923 JEROME ST BROOKLYN,B4111,Ps 936 270 59th Street Brooklyn,0.85769415
A1875,SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2 211 THROOP AVE-3RD FL BROOKLYN,B572,Brooklyn Emerging Leaders Academy Charter High School 125 Stuyvesant Ave Brooklyn,0.85749143
A918,PS 135 SHELDON A BROOKNER 684 LINDEN BLVD BROOKLYN,B3503,P.S. 128 Bensonhurst 2075 84 Street Brooklyn,0.8572572
A457,MS 101 EDWARD R BYRNE 2750 LAFAYETTE AVE BRONX,B2608,M.S. X101 Edward R. Byrne 2750 Lafayette Ave Bronx,0.8571952
A3198,INCREASE MILLER ELEMENTARY SCHOOL PO BOX 387 KATONAH,B2108,"Increase Miller Elementary School 186 Waccabuc Road, Rt. 138 Goldens Bridge",0.857116
A1306,PS 16 LEONARD DUNKLY 157 WILSON ST BROOKLYN,B3242,P.S. 016 Leonard Dunkly 157 Wilson Street Brooklyn,0.8570222
A4463,TIOGA SENIOR HIGH SCHOOL PO BOX 241 TIOGA CENTER,B4964,Tioga Middle School 27 5th Ave Tioga Center,0.85698813
A3322,DONLIN DRIVE ELEMENTARY SCHOOL 299 DONLIN DR LIVERPOOL,B2522,Liverpool High School 4338 Wetzel Rd Liverpool,0.856979
A883,PS 316 ELIJAH STROUD 750 CLASSON AVE BROOKLYN,B3772,P.S. 316 Elijah Stroud 750 Classon Avenue Brooklyn,0.8569071
A3101,WASHINGTON SCHOOL 78 WHITSON RD HUNTINGTON STATION,B1600,George Washington School 347 William St West Hempstead,0.8568243
