A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A847,PS 26 JESSE OWENS 1014 LAFAYETTE AVE BROOKLYN,B3271,P.S. 026 Jesse Owens 1014 Lafayette Ave Brooklyn,0.90459704
A1178,ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS 31-51 21ST ST LONG ISLAND CITY,B111,Albert Shanker School For Visual And Performing Arts 31-51 21 Street Queens,0.90425706
A3346,ANN MACARTHUR PRIMARY 100 RYEFIELD RD LOCUST VALLEY,B156,Ann M Macarthur Primary School 100 Ryefield Road Locust Valley,0.904232
A4792,YORK CENTRAL ELEMENTARY SCHOOL PO BOX 102 RETSOF,B5454,York Central Elementary School 2578 Genessee Street Retsof,0.90422237
A332,PS 200 JAMES MCCUNE SMITH SCHOOL (THE) 2589 7TH AVE NEW YORK,B3658,P.S. 200-The James Mccune Smith School 2589 7 Avenue Manhattan,0.90417886
A1858,CHOICE CHARTER SCHOOL 423 E 138TH ST BRONX,B542,Bronx Preparatory Charter School 3872 3rd Ave Bronx,0.904134
A1330,PS 380 JOHN WAYNE ELEMENTARY 370 MARCY AVE BROOKLYN,B3801,P.S. 380 John Wayne Elementary 370 Marcy Ave Brooklyn,0.90410197
A4629,WEBUTUCK HIGH SCHOOL PO BOX 405 AMENIA,B5244,Webutuck High School Haight Rd Amenia,0.90410084
A3893,CIRCLEVILLE MIDDLE SCHOOL PO BOX 143 CIRCLEVILLE,B876,Circleville Middle School Rt 302 Circleville,0.90409595
A4617,WAYNE SENIOR HIGH SCHOOL PO BOX 155 ONTARIO CENTER,B5238,Wayne Senior High School 6200 Ontario Center Road Ontario Center,0.9040687
A3105,HAVILAND MIDDLE SCHOOL PO BOX 721 HYDE PARK,B1826,Haviland Middle School 20 Haviland Rd Hyde Park,0.90395266
A492,PS 42 CLAREMONT 1537 WASHINGTON AVE BRONX,B4109,Ps 536 1827 Archer Street Bronx,0.9039152
A3955,MANORHAVEN ELEMENTARY SCHOOL MOREWOOD OAKS PORT WASHINGTON,B2660,Manorhaven Elementary School 12 Morewood Oaks Port Washingtn,0.9038998
